101000,140,3,211,60
_H__,81645,,1/162/,,
__H_,81857,,,1/163/,
_H__,82070,,1/589/,,
_H__,82709,,1/56/,,
__H_,82815,,,1/163/,
___H,83028,,,,1/375/
__H_,83453,,,1/163/,
_H__,83666,,1/56/,,
H___,83772,1/375/,,,
_N__,84397,,1/,,
_H__,84825,,1/162/,,
__H_,85037,,,1/163/,
_H__,85250,,1/589/,,
_H__,85889,,1/56/,,
__H_,85995,,,1/163/,
_H__,86314,,1/800/,,
__H_,87164,,,1/589/,
___H,87803,,,,1/163/
_H__,88269,,1/162/,,
__H_,88481,,,1/163/,
_H__,88694,,1/589/,,
_H__,89333,,1/56/,,
__H_,89439,,,1/163/,
___H,89864,,,,1/375/
__H_,90289,,,1/163/,
_H__,90502,,1/56/,,
H___,90608,1/375/,,,
_N__,91283,,1/,,
_H__,91605,,1/162/,,
__H_,91817,,,1/163/,
_H__,92030,,1/589/,,
_H__,92669,,1/56/,,
__H_,92775,,,1/163/,
__H_,93228,,,1/376/,
_H__,93653,,1/589/,,
H___,93865,1/800/,,,
_H__,94823,,1/800/,,
